Sentence #,Word,Pos
,বাদাম,N
,ভজা,N
,খাবলৈ,V
,ধৰে,V
,।,।
Sentence: 104,নলিনী,N
,হঠাৎ,ADV
,বহি,V
,যায়,V
,আৰু,CON
,বেগাই,ADJ
,বাদাম,N
,ভজা,N
,খাবলৈ,V
,লয়,V
,।,।
Sentence: 105,অকস্মাৎ,ADV
,উচ্ছ্বসিত,ADJ
,কলৰৱ,N
,আকাশত,N
,আৱৰ্তিত,V
,",",","
,আলোড়িত,ADJ
,হয়,V
,",",","
,সেয়া,PR
,বন্দী,N
,বন্যাবাৰিৰ,N
,গুহা,N
,বিদাৰণৰ,N
,কলৰোল,N
,?,?
Sentence: 106,নাইবা,CON
,সেয়া,PR
,ঘূৰ্ণ,ADJ
,তাণ্ডৱী,N
,উন্মাদ,ADJ
,সাধকৰ,N
,ৰুদ্ৰমত্ত,N
,উচ্চাৰণ,N
,?,?
Sentence: 107,সেয়া,PR
,দাবাগ্নিবেষ্টিত,N
,মহাৰণ্যৰ,N
,আত্মঘাতী,ADJ
,প্ৰলয়,N
,নিনাদ,N
,?,?
Sentence: 108,এই,PR
,ভীষণ,N
,কোলাহলৰ,N
,তালে তালে,ADV
,এটা,ADJ
,অস্ফুট,ADJ
,ধ্বনিধাৰা,N
,বিসৰ্পিত,N
,হয়,V
,যেন,ADJ
,অগ্নিগিৰি,N
,নিঃসৃত,ADJ
,গদ্‌,ADV
,কলমুখৰ,N
,পংকস্ৰোত,N
,তাত,PR
,একত্ৰ,ADJ
,মিলিছে,V
,",",","
,পৰশ্ৰীকাতৰতাৰ,N
,ফুচ্‌ফুচনি,N
,",",","
,কুৎসিত,ADJ
,জনশ্ৰুতি,N
,",",","
,অৱজ্ঞাৰ,N
,হাঁহি,N
,।,।
Sentence: 109,তাত,PR
,মানুহবোৰ,N
,বুৰঞ্জীৰ,N
,চিঙা,V
,ফলা,V
,পৃষ্ঠাৰ,N
,দৰে,ADJ
,।,।
Sentence: 110,ইতস্ততঃ,CON
,ঘূৰি,V
,ফুৰিছে,V
,জোঁৰবন্তিৰ,N
,আলোছায়াত,N
,সিহঁতৰ,PR
,মুখত,N
,বিভীষিকাৰ,N
,প্ৰলেপ,N
,।,।
Sentence: 111,কোনো,PR
,এসময়ত,ADJ
,অকাৰণ,N
,সন্দেহতে,N
,কোনো,PR
,এক,ADJ
,পাগলে,N
,তাৰ,PR
,প্ৰতিবেশীক,N
,হঠাৎ,ADV
,মাৰে,V
,চাওঁতে চাওঁতে,ADV
,নিবিচাৰ,N
,বিবাদ,N
,বিক্ষুব্ধ,ADJ
,হৈ,V
,উঠে,V
,দিশে দিশে,ADV
,কোনো,PR
,নাৰীয়ে,N
,আৰ্ত্তস্বৰে,ADJ
,বিলাপ,N
,কৰে,V
,কয়,V
,",",","
,হায়,INT
,আমাৰ,PR
,দিশহাৰা,ADJ
,সন্তান,N
,উছন,ADJ
,গʼল,V
,কোনো,PR
,কামিনীয়ে,N
,যৌৱন,N
,মদবিলাসত,N
,নগ্ন,N
,দেহে,N
,অট্টহাস্য,N
,কৰে,V
,।,।
Sentence: 112,কমল,N
,হঠাৎ,ADV
,বহি,V
,যায়,V
,আৰু,CON
,অতি,ADJ
,খৰকৈ,ADJ
,বাদাম,N
,ভজা,N
,খাবলৈ,V
,ধৰে,V
,।,।
Sentence: 113,ব্যোম-ব্যোম,N
,এটা,ADJ
,ধুনীয়া,ADJ
,ককটেলৰ,N
,কথা,N
,কওঁ,V
,ৰাম,N
,",",","
,স্কটচ্‌ ইটালিয়ান ভাৰমাউথ্‌,N
,লগত,PREP
,পাইন এপল জুইচ,N
,।,।
Sentence: 114,নাইবা,CON
,আৰু,CON
,এটা,ADJ
,দুই,ADJ
,আউন্স ৰাম,N
,আধা,ADJ
,আউন্স জিঞ্জাৰ ৱাইন,N
,।,।
Sentence: 115,নাইবা,CON
,আৰু,CON
,এটা,ADJ
,দুই,ADJ
,আউন্স ৰাম,N
,",",","
,আধা,ADJ
,ৱাইন,N
,দুই,ADJ
,ৰʼজ চিৰাপ,N
,ইত্যাদি,CON
,।,।
Sentence: 116,দেখা,V
,যায়,V
,এটা,ADJ
,সময়ত,N
,চাৰিওজনে,ADJ
,খৰধৰকৈ,N
,বাদাম,N
,ভজা,N
,খাবলৈ,V
,ধৰিছে,V
,।,।
Sentence: 117,পোহৰ,N
,কমি,ADJ
,আহে,V
,।,।
Sentence: 118,কেটামান,ADJ
,দীঘলীয়া,ADJ
,নীৰৱ,N
,মুহূৰ্ত,N
,অতিবাহিত,ADV
,হয়,V
,।,।
Sentence: 119,মধ্যম,ADJ
,মঞ্চলৈ,N
,লাহে লাহে,ADV
,উঠি,V
,আহে,V
,নাৰী,N
,হাতত,N
,এটা,ADJ
,বেগ,N
,।,।
Sentence: 120,নবীন,N
,",",","
,কমল,N
,",",","
,নলিনী,N
,আৰু,CON
,ধীৰেন,N
,জঠৰ,ADJ
,হৈ,V
,ৰৈ,V
,যায়,V
,।,।
Sentence: 121,বেগটো,N
,এবাৰ,ADV
,খুলি,V
,চায়,V
,মোৰ,PR
,এই,PR
,বেগটোত,N
,এটা,ADJ
,সত্তা,N
,ভৰাই,V
,থৈছোঁ,V
,।,।
Sentence: 122,দন্ত্য  স,N
,",",","
,তই তই,ADV
,আত্ত,N
,",",","
,আৱব,N
,তাত,PR
,আকাৰ,N
,সত্তা,N
,ইয়াতে,PR
,ভৰাই,V
,থৈছোঁ,V
,।,।
Sentence: 123,সত্তাটোৰ,N
,অনেক,ADJ
,ৰং,N
,।,।
Sentence: 124,কৈছোঁ,V
,নহয়,V
,এটা,ADJ
,প্ৰিজম্‌,N
,তাৰপৰা,PR
,অনেক,ADJ
,ৰং,N
,ওলাব,V
,পাৰে,V
,।,।
Sentence: 125,বেঙুনীয়া,N
,",",","
,কমলা,N
,",",","
,ফাকুৰ ৰং,N
,",",","
,সেইজীয়া,N
,",",","
,কুহুমীয়া,N
,",",","
,কেঁচা হালধি,N
,আৰু,CON
,ঘিউৰ ৰং,N
,নীলা,N
,আৰু,CON
,ৰঙা,N
,",",","
,গোসাঁনীৰ,N
,জিভাৰ,N
,দৰে,ADJ
,ৰঙা,N
,",",","
,নিশা,N
,পাহাৰৰ,N
,হাবিত,N
,লগা,V
,জুইৰ,N
,দৰে,ADJ
,ৰঙা,N
,",",","
,কমাৰশালত,N
,জ্বলি,V
,থকা,V
,কয়লাখিনিৰ,N
,দৰে,ADJ
,।,।
Sentence: 126,এক,ADJ
,নিবিড়,ADJ
,অন্ধ,N
,আকুলতাৰে,ADJ
,সত্তাটো,N
,মই,PR
,সদায়,ADV
,মোৰ,PR
,বেগত,N
,সুমাই,V
,থৈছোঁ,V
,ৰুমাল,N
,লিপষ্টিক,N
,কমপেক্ট,N
,ফণি,N
,ছেফটিপিন,N
,পাৰফিউম,N
,হেয়াৰস্প্ৰে,N
,এছপ্ৰিন,N
,ট্ৰেনকুইলাজাৰ,N
,খুচুৰা পইচা,N
,এইবিলাকৰ,PR
,মাজত,PREP
,।,।
Sentence: 127,মোৰ,PR
,অনবদ্য,ADJ
,সত্তাটো,N
,কিন্তু,CON
,অক্ষয়,ADJ
,হৈ,V
,আছে,V
,অনিষ্প্ৰভ,ADJ
,হৈ,V
,কিন্তু,CON
,শেতা,N
,",",","
,নিস্তেজ,ADJ
,বগা,N
,হৈ,V
,পৰিছে,V
,মোৰ,PR
,বহু,ADJ
,হেজাৰ,ADJ
,",",","
,বহুত,ADJ
,কোটি,ADJ
,জীৱন,N
,",",","
,মোৰ,PR
,আজিৰ,PR
,জীৱনটোৰ,N
,দৰে,ADJ
,।,।
Sentence: 128,নবীন,N
,",",","
,ধীৰেন,N
,",",","
,কমল,N
,আৰু,CON
,নলিনীয়ে,N
,ক্ৰমে,ADV
,একোটা,ADJ
,কাহ,N
,বা,CON
,গল,N
,হেকাৰি,N
,মাৰে,V
,আৰু,CON
,আকৌ,ADV
,জঠৰ,N
,হৈ,V
,পৰে,V
,।,।
Sentence: 129,নাৰীয়ে,N
,সেইপিনে,PR
,সিহঁতৰ,PR
,পিনে,ADV
,এবাৰ,ADV
,চায়,V
,আৰু,CON
,কয়,V
,শুক্লেশ্বৰ,N
,ঘাটৰ,N
,নৰ্থ ব্ৰুক,N
,তোৰণৰ,N
,তলত,ADJ
,বহি,V
,চাৰিটা,ADJ
,প্ৰস্তৰ,N
,মূৰ্ত্তিৰ,N
,দৰে,ADJ
,নবীন,N
,",",","
,কমল,N
,",",","
,ধীৰেন,N
,আৰু,CON
,নলিনী,N
,চাৰিটা,ADJ
,মাতাল,N
,।,।
Sentence: 130,বিভিন্নজাতীয়,ADJ
,নিচাত,N
,ইহঁত,PR
,মাতাল,N
,।,।
Sentence: 131,মদ-ভাং,N
,",",","
,ঐশ্বৰ্য-বিভূতি,N
,",",","
,বিশ্বসাহিত্য,N
,",",","
,সমাজ,N
,",",","
,বিপ্লৱ,N
,কত,PR
,নিচা,N
,আগুৱাই,V
,দৰ্শকৰ,N
,সমুখলৈ,ADJ
,আহি,V
,কালি,PR
,সন্ধ্যা,N
,গুৱাহাটী,N
,মেডিকেল,N
,কলেজ,N
,হস্পিটেলত,N
,মোৰ,PR
,মৃত্যু,N
,হৈছিল,V
,।,।
Sentence: 131,হস্পিটেলৰ,N
,মৰ্গৰপৰা,N
,পুৱা,N
,নিশা,N
,মোক,PR
,ইহঁত,PR
,চাৰিটাই,ADJ
,চুৰ,N
,কৰি,V
,আনি,V
,এই,PR
,নৰ্থ ব্ৰুক,N
,গেটৰ,N
,তলত,ADJ
,লুকাই,V
,থৈছেহি,V
,আৰু,CON
,কেঘণ্টামান,ADJ
,পিছত,ADJ
,ইয়াতে,PR
,এটা,ADJ
,গাঁত,N
,খান্দি,V
,ইহঁতে,PR
,এই,PR
,তোৰণৰ,N
,তলত,ADJ
,মোক,PR
,পুতি,V
,থʼব,V
,।,।
Sentence: 132,এটা,ADJ
,যুগমীয়া,ADJ
,চিন্ময়,ADJ
,স্মৃতিস্তম্ভৰ,N
,তলত,ADJ
,মোৰ,PR
,চিৰ-নিদ্ৰাৰ,N
,শয্যা,N
,হʼব,V
,।,।
Sentence: 133,মোৰ,PR
,শৱটো,N
,পচন,ADJ
,ৰসত,N
,ফুলি,N
,উঠিছে,V
,দুৰ্গন্ধ,ADJ
,ওলাইছে,V
,।,।
Sentence: 134,ব্ৰহ্মপুত্ৰৰ,N
,বতাহ,N
,আৰু,CON
,মোৰ,N
,শৰীৰৰ,N
,পচন,ADJ
,ৰসৰ,N
,দুৰ্গন্ধ,ADJ
,মিলি,V
,ক্লোৰোফৰ্মৰ,N
,দৰে,ADJ
,কমল,N
,",",","
,নবীন,N
,",",","
,ধীৰেন,N
,",",","
,নলিনীৰ,N
,ইন্দ্ৰিয়সমূহত,N
,ক্ৰিয়া,V
,কৰিছে,V
,।,।
Sentence: 135,ক্লান্ত,ADJ
,",",","
,অৱসন্ন,ADJ
,",",","
,উত্তেজনাকাতৰ,ADJ
,ইহঁত,PR
,চাৰিটাৰ,ADJ
,প্ৰত্যেকৰে,ADJ
,মগজুৰ,N
,দুৱাৰমুখত,N
,অলপ,ADJ
,সময়ৰ,N
,কাৰণে,CON
,মই,PR
,এতিয়া,ADV
,থিয়,N
,হৈছোঁ,V
,।,।
Sentence: 136,সিহঁতৰ,PR
,মগজুৰ,N
,দুৱাৰ,N
,আৰু,CON
,খিৰিকীৰ,N
,আয়নাত,N
,মোৰ,PR
,বিভিন্ন,ADJ
,ৰূপ,N
,।,।
Sentence: 137,জুই,N
Sentence: 138,নলিনী,N
,:,:
,সাপ,N
Sentence: 139,কমল,N
,:,:
,সমুদ্ৰ,N
Sentence: 140,নবীন,N
,:,:
,আকাশ,N
Sentence: 141,ধীৰেনহঁতৰ,N
,প্ৰত্যেকলৈকে,ADJ
,একোবাৰ,ADJ
,দৃষ্টি,N
,নিক্ষেপ,N
,কৰে,V
,জুই,N
,সাপ,N
,সমুদ্ৰ,N
,আকাশ,N
,।,।
Sentence: 142,কমল,N
,:,:
,প্ৰেম,N
,প্ৰেৰণা,N
Sentence: 143,নলিনী,N
,:,:
,মায়া-বন্ধন,N
,।,।
Sentence: 144,ধীৰেন,N
,:,:
,ত্যাগ,N
,কৰুণা,N
Sentence: 145,নবীন,N
,:,:
,সেৱা,N
,বাসনা,N
Sentence: 146,আগৰদৰেই,ADJ
,ধীৰেনহঁতলৈ,N
,তেওঁলোকৰ,PR
,সংলাপৰ,N
,লগে লগে,ADV
,দৃষ্টি,N
,নিক্ষেপ,N
,কৰে,V
,প্ৰেম-প্ৰেৰণা,N
,",",","
,মায়া-বন্ধন,N
,",",","
,ত্যাগ-কৰুণা,N
,",",","
,সেৱা-বাসনা,N
,।,।
Sentence: 147,কমল,N
,:,:
,প্ৰিয়া,N
Sentence: 148,নলিনী,N
,:,:
,পত্নী,N
Sentence: 149,ধীৰেন,N
,:,:
,মাতৃ,N
Sentence: 150,নবীন,N
,:,:
,বেশ্যা,N
Sentence: 151,প্ৰিয়া,N
,পত্নী,N
,মাতৃ,N
,বেশ্যা,N
,কমলৰ,N
,বাহিৰে,CON
,বাকী,ADJ
,তিনিজন,ADJ
,তোৰণৰ,N
,ভিতৰলৈ,PREP
,নামি,V
,যায়,V
,।,।
Sentence: 152,কেটামান,ADJ
,দীঘলীয়া,ADJ
,নীৰৱ,ADJ
,মুহূৰ্ত,N
,পাৰ,V
,হয়,V
,।,।
Sentence: 152,লাহে লাহে,ADV
,কমল,N
,মধ্যম,ADJ
,তোৰণৰ,N
,পিনে,ADJ
,আগুৱাই,N
,আহে,V
,।,।
Sentence: 153,নাৰীয়ে,N
,সেই,PR
,সময়ত,N
,তোৰণৰ,N
,এটা,ADJ
,খুঁটাৰ,N
,কাষত,N
,গাৰপৰা,N
,পৰি,V
,যোৱা,V
,কʼলা,N
,ছালখন,N
,থৈ,V
,দিয়ে,V
,।,।
Sentence: 154,আৰু,CON
,খুঁটাটোত,N
,আউজি,V
,চকু,N
,দুটা,ADJ
,মুদি,V
,থাকে,V
,।,।
Sentence: 155,কমল,N
,আগুৱাই,N
,আহি,V
,মধ্যম,ADJ
,মঞ্চত,N
,থিয়,N
,দিয়েহি,V
,আৰু,CON
,লাহেকৈ,ADV
,মাতে,V
,।,।
Sentence: 156,নীলিমা,N
,সখী,N
,নাৰীয়ে,N
,চকু,N
,দুটা,ADJ
,মুদিয়েই,V
,থাকে,V
,নীলিমা,N
,সখী,N
,।,।
Sentence: 157,নাৰীয়ে,N
,চকু,N
,দুটা,ADJ
,লাহেকৈ,ADV
,মেলে,V
,আৰু,CON
,এটা,ADJ
,মিচিকিয়া,N
,হাঁহি,N
,মাৰে,V
,।,।
Sentence: 158,মই,PR
,ৰৈ,V
,আছোঁ,V
,কমল,N
,।,।
Sentence: 159,আমাৰ,PR
,নিজৰ,PR
,ঠাইখিনিলৈ,N
,যাওঁ,V
,বʼলা,V
,।,।
Sentence: 160,সেই,PR
,ঠাই,N
,যে,CON
,এৰি,V
,আহিলোঁ,V
,কমল,V
,কিন্তু,CON
,পোহৰখিনি,N
,আছে,V
,।,।
Sentence: 161,নাৰী,N
,:,:
,কʼতা,INT
,।,।
Sentence: 162,সৌৱা,PR
,দেখা,V
,যায়,V
,দ্বিতীয়,ADJ
,মঞ্চত,N
,হালধীয়া,N
,পোহৰ,N
,পৰিছে,V
,।,।
Sentence: 163,নাৰীয়ে,N
,সেই,PR
,পোহৰলৈ,N
,অলপ,ADJ
,সময়,N
,চায়,V
,।,।
Sentence: 164,বʼলা,V
,আগে আগে,CON
,নাৰী,N
,আৰু,CON
,পিছে পিছে,ADV
,কমল,N
,দ্বিতীয়,ADV
,মঞ্চলৈ,N
,যায়,V
,কমলে,N
,গৈ,V
,থাকোঁতেই,V
,সংলাপ,N
,আৰম্ভ,N
,কৰে,V
,।,।
Sentence: 165,বিশ্ববিদ্যালয়ৰ,N
,দৰ্শন,N
,বিষয়ৰ,N
,ষষ্ঠ,ADJ
,বাৰ্ষিকৰ,N
,ছাত্ৰী,ADJ
,নীলিমাক,N
,মই,PR
,সখী,N
,বুলি,CON
,মাতোঁ,V
,।,।
Sentence: 166,আমাৰ,PR
,মিলন,ADJ
,হয়,V
,প্ৰায়েই,ADV
,এখন,ADJ
,পাহাৰৰ,N
,ওপৰত,PREP
,।,।
Sentence: 167,এই,PR
,স্থানৰ,N
,বাছনি,N
,মোৰহে,PR
,",",","
,সখীয়ে,N
,কিন্তু,CON
,বিচাৰে,V
,নগৰৰ,N
,মাজত,PREP
,থকা,V
,মোৰ,PR
,অকলশৰীয়া,ADV
,ভাৰাঘৰটোৰ,N
,বহা,V
,",",","
,খোৱা,V
,",",","
,শোৱাকোঠা,N
,বা,CON
,কেতিয়াবা,ADV
,সমুখৰ,ADV
,ফুলনি,N
,।,।
Sentence: 168,তোমাৰ,PR
,ড্ৰইং,N
,ৰূমৰ,N
,পৰ্দা,N
,",",","
,চকী,N
,",",","
,ছোফা,N
,",",","
,ডিভান,N
,আৰু,CON
,কুছনকেইখন,N
,",",","
,বেৰৰ,N
,পেʼণ্টিংকেখন,N
,",",","
,তোমাৰ,PR
,শোৱাকোঠাৰ,N
,বিছনাৰ,N
,ধুনীয়া,ADJ
,বেডকভাৰখন,N
,",",","
,ৱাৰ্ডৰবৰ ছাৰ্ট,N
,",",","
,গেঞ্জী,N
,",",","
,টাই,N
,",",","
,তোমাৰ,PR
,কাপোৰ-কানিবোৰৰ,N
,গোন্ধ,ADJ
,মন,N
,ভাল-লাগি,V
,যোৱা,V
,কিবা,ADJ
,এটা,ADJ
,গোন্ধ,ADJ
,।,।
Sentence: 169,খোৱা,V
,টেবুলৰ,N
,কাপ-প্লেট,N
,",",","
,ফুলনিৰ,N
,ঘাঁহখিনি,N
,",",","
,ফুলকেজোপা,N
,",",","
,এই,PR
,গোটেইবিলাক,ADJ
,ইমান,PR
,চিনাকি,ADJ
,",",","
,ইমান,PR
,আপোন,PR
,",",","
,ইমান,PR
,মৰমৰ,ADV
,।,।
Sentence: 170,সখীয়ে,N
,কʼলে,V
Sentence: 171,মোৰ,PR
,অন্তৰৰ,N
,আপোনতম,PR
,মানুহজনক,N
,এইবোৰ,PR
,অতি,ADJ
,চিনাকি,N
,বস্তুৰে,N
,অতি,ADJ
,চিনাকি,N
,পৰিৱেশত,N
,পাবলৈ,V
,মোৰ,PR
,ভাল,ADJ
,লাগে,V
,।,।
Sentence: 172,কিন্তু,CON
,মই,PR
,কʼলোঁ,V
,সৌ,PR
,পাহাৰৰ,N
,ওপৰত,PREP
,প্ৰকাণ্ড,ADJ
,শিলটোৰ,N
,কাষৰ,N
,তোমাক,PR
,পাবলৈ,V
,মোৰ,PR
,ভাল,ADJ
,লাগে,V
,।,।
Sentence: 173,এটি,ADJ
,নীড়মুখী,N
,",",","
,এটি,ADJ
,আকাশমুখী,N
,।,।
Sentence: 174,তুমি,PR
,কাব্য,N
,কৰিছা,V
,সখী,N
,।,।
Sentence: 175,আমাৰ,PR
,প্ৰেম,N
,কাব্যৰ,N
,ঊৰ্ধ্বত,ADJ
,",",","
,মই,PR
,কৈ,V
,গʼলোঁ,V
,",",","
,মোৰ,PR
,অলপ,ADJ
,খং,N
,উঠিছিল,V
,",",","
,আমাৰ,PR
,প্ৰেম,N
,পৃথিৱীৰ,N
,সকলো,ADJ
,বস্তু,N
,বিভৱ,N
,চিন্তাৰ,N
,ঊৰ্ধ্বত,ADJ
,।,।
Sentence: 176,সেই,PR
,কাৰণেই,CON
,তোমাৰ,PR
,প্ৰতি,ADJ
,মোৰ,PR
,প্ৰেম,N
,নিৱেদনৰ,N
,স্থান,N
,মই,PR
,বাছি,V
,লৈছোঁ,V
,পাহাৰ,N
,শিখৰত,ADJ
,",",","
,ঊৰ্ধ্বত,ADJ
,",",","
,সকলোৰে,ADJ
,ঊৰ্ধ্বত,ADJ
,",",","
,যʼত,PR
,গোটেইখন,ADJ
,পৃথিৱী,N
,",",","
,গোটেইখন,ADJ
,আকাশ,N
,",",","
,আৰু,CON
,অনাদি,ADJ
,সময়ৰ,N
,গতি,N
,কেইটামান,PR
,বিন্দুত,N
,পৰিণত,ADJ
,হয়,V
,আৰু,CON
,সেই,PR
,বিন্দুকেইটা,N
,তোমাৰ,PR
,নিজৰ,ADJ
,মুখখনত,N
,সিঁচৰতি,ADJ
,হৈ,V
,পৰে,V
,।,।
Sentence: 177,তোমাৰ,PR
,কপালৰ,N
,এটা,ADJ
,ফোঁট,N
,",",","
,তোমাৰ,PR
,চকুৰ,N
,দুটা,ADJ
,মণি,N
,",",","
,ওঁঠৰ,N
,তিল,N
,যেন,ADJ
,সেই,PR
,।,।
Sentence: 178,মোৰ,PR
,প্ৰেম,N
,সমুজ্জ্বল,N
,হৈ,V
,উঠে,V
,তোমাৰ,PR
,দেহৰ,N
,সেই,PR
,বিন্দুবোৰত,N
,।,।
Sentence: 179,নাৰী,N
,:,:
,তুমিও,PR
,কাব্য,N
,কৰিলা,V
,কমল,N
Sentence: 180,কমল,N
,:,:
,হয়তো,CON
,কাব্য,N
,হৈছে,V
Sentence: 181,সমস্ত,ADJ
,হৃদয়ভৰি,N
,উঠা,V
,প্ৰেমৰ,N
,অনুভৱ,N
,আৰু,CON
,উপলব্ধিৰ,N
,ভাষা,N
,হয়তো,CON
,কাব্য,N
,হৈ,V
,পৰে,V
,।,।
Sentence: 182,কিন্তু,CON
,সেই,PR
,কাব্য,N
,সৃষ্টি,N
,মিনচ্‌হে এণ্ড,N
,নহয়,V
,।,।
Sentence: 183,কাব্য,N
,",",","
,শব্দ,N
,",",","
,অৰ্থৰ,N
,পথেৰে,N
,তোমাক,PR
,নিয়ন্ত্ৰণ,N
,কৰি,V
,মোৰ,PR
,হৃদয়ৰ,N
,মুক্ত,ADJ
,দুৱাৰমুখলৈকে,N
,আগুৱাই,N
,অনাই,V
,হʼল,V
,মোৰ,PR
,আচল,ADJ
,উদ্দেশ্য,N
,এণ্ড,N
,কিন্তু,CON
,তোমাৰ,PR
,কথাৰ,N
,সুৰত,N
,ব্যংগ,ADJ
,আছিল,V
,।,।
Sentence: 184,তুমি,PR
,কেতিয়াবা,ADV
,ভণ্ডামি,N
,কৰা,V
,।,।
Sentence: 185,নাৰী,N
,:,
,কমল,N
,কণ্ঠস্বৰ,N
,তীব্ৰ,ADJ
,হৈ,V
,পৰে,V
,।,।
Sentence: 186,কমল,N
,:,
,সখী,N
,।,।
Sentence: 187,হৃদয়ৰ,N
,সমস্ত,ADJ
,আকুতিৰে,N
,হাহাকাৰ,N
,কৰি,V
,তোমাক,PR
,মই,PR
,পাবলৈ,V
,বিচাৰিলোঁ,V
,।,।
Sentence: 188,হৃদয়ৰ,N
,সমস্ত,ADJ
,আকুতিৰে,N
,",",","
,হাহাকাৰ,N
,কৰি,V
,ময়ো,PR
,তোমাক,PR
,পাবলৈ,V
,বিচাৰিছিলোঁ,V
,।,।
Sentence: 189,আৰু,CON
,এদিন,ADV
,মই,PR
,তোমাক,PR
,পালোঁ,V
,।,।
Sentence: 190,এদিন,ADV
,ময়ো,PR
,তোমাক,PR
,পালোঁ,V
,।,।
Sentence: 191,তোমাক,PR
,দিবলৈ,V
,মোৰ,PR
,এতিয়া,ADV
,আৰু,CON
,একো,ADJ
,বাকী,ADJ
,নাথাকিল,V
,।,।
Sentence: 192,মোৰ,PR
,জানো,CON
,কিবা,ADJ
,বাকী,ADJ
,আছে,V
,?,?
Sentence: 193,তেন্তে,ADV
,এই,PR
,সৰ্বস্ব,ADJ
,পোৱা,V
,আৰু,CON
,সৰ্বস্ব,ADJ
,দিয়াৰ,V
,মাজত,PREP
,ভণ্ডামিৰ,N
,স্থান,N
,কʼত,PR
,?,?
Sentence: 194,ভণ্ডামি,N
,প্ৰেমত,N
,নহয়,V
,ভণ্ডামি,N
,জীৱনবোধত,N
,।,।
Sentence: 195,এই,PR
,ড্ৰইং,N
,ৰূমত,N
,মোৰ,PR
,ঘৰৰ,N
,চাৰিবেৰৰ,N
,মাজত,PREP
,আমাৰ,PR
,প্ৰেম,N
,নিৱেদন,N
,আৰু,CON
,গ্ৰহণত,N
,তোমাৰ,PR
,কাৰণে,CON
,ভণ্ডামিৰ,N
,স্থান,N
,নাই,V
,।,।
Sentence: 196,এই,PR
,প্ৰেম,N
,স্বাভাৱিক,ADJ
,সহজ,ADJ
,ঘটনা,N
,।,।
Sentence: 197,কিন্তু,CON
,সেই,PR
,পাহাৰৰ,N
,ওপৰত,PREP
,আমাৰ,PR
,দুয়োৰে,PR
,প্ৰেম,N
,তোমাৰ,PR
,কাৰণে,CON
,হয়,V
,ভণ্ডামি,N
,।,।
Sentence: 198,সেই,PR
,কাৰণে,CON
,সেই,PR
,ভণ্ডামিৰ,N
,স্তৰৰপৰা,N
,নমাই,V
,আনি,V
,মই,PR
,তোমাক,PR
,এই,PR
,ড্ৰইং,N
,ৰূমত,N
,",",","
,সৌ,PR
,শোৱাকোঠাত,N
,",",","
,চিৰদিন,ADJ
,ৰাখিব,V
,খোজোঁ,V
,।,।
Sentence: 199,তাৰ,PR
,মানে,CON
,ভণ্ডামিৰ,N
,ছাইসোপা,N
,মোৰ,PR
,মুখত,N
,সানি,V
,লʼবলৈ,V
,কʼলা,V
,?,?
Sentence: 200,কমল,N
,তুমি,PR
,কি,CON
,বিচৰা,V
,।,।
Sentence: 201,সখী,N
,আমাৰ,PR
,প্ৰেম,N
,অমৰ,ADJ
,হওক,V
,",",","
,এখন,ADJ
,সাগৰ,N
,হওক,V
,",",","
,যʼত,PR
,সূৰ্যোদয়,N
,আৰু,CON
,সূৰ্যাস্ত,N
,হয়,V
,",",","
,এখন,ADJ
,আকাশ,N
,হওক,V
,যʼত,PR
,ৰʼদ,N
,",",","
,জোনাক,N
,আৰু,CON
,আন্ধাৰ,N
,উপচি,V
,থাকে,V
,এখন,ADJ
,অৰণ্য,N
,হওক,V
,",",","
,যʼত,PR
,ধুমুহা,N
,আৰু,CON
,বৰষুণে,N
,খেলে,V
,",",","
,সহস্ৰ,ADJ
,পখীয়ে,N
,গান,N
,গায়,V
,।,।
Sentence: 202,আমাৰ,PR
,প্ৰেম,N
,তেনে,PR
,হওক,V
,।,।
Sentence: 203,যদি,CON
,আমাৰ,PR
,স্বাভাৱিক,ADJ
,জীৱনৰ,N
,আঁচোৰ,N
,লাগি,V
,সেই,PR
,প্ৰেম,N
,নষ্ট,ADJ
,হোৱাৰ,V
,আশংকা,N
,থাকে,V
,তেন্তে,ADV
,আমি,PR
,স্বীকাৰ,N
,কৰি,V
,লʼম,V
,এক,ADJ
,অস্বাভাৱিক,ADJ
,জীৱন,N
,",",","
,যি,PR
,জীৱনত,N
,প্ৰেম,N
,হৈ,V
,থাকিব,V
,মহীয়ান,ADJ
,",",","
,চিন্ময়,ADJ
Sentence: 204,আমাৰ,PR
,প্ৰেম,N
,পাৰ্থিৱৰপৰা,N
,অপাৰ্থিৱলৈ,N
,উত্তৰণ,N
,।,।
Sentence: 205,আমাৰ,PR
,প্ৰেম,N
,হʼল,V
,আত্মিক,N
,সংলাপ,N
,।,।
Sentence: 206,কমল,N
,",",","
,আমাৰ,PR
,বিয়াখন,N
,সম্পৰ্কত,N
,তুমি,PR
,কি,CON
,সিদ্ধান্ত,N
,লʼলা,V
Sentence: 207,সেই,PR
,সিদ্ধান্ত,N
,মই,PR
,এতিয়াও,PR
,লোৱা,V
,নাই,V
,।,।
Sentence: 208,কিন্তু,CON
,কেটামান,ADJ
,সিদ্ধান্তৰ,N
,কথা,N
,বিবেচনা,N
,কৰি,V
,আছোঁ,V
,।,।
Sentence: 209,যেনে,PR
,কমল,N
,মই,PR
,আত্মহত্যা,N
,কৰিম,V
,।,।
Sentence: 210,ক্ষন্তেক,ADJ
